Assessment_ID,Event_ID,Location_ID,District,Response_Zone,Assessment_Window,Hours_Since_Disaster,Simulation_ID,Latitude,Longitude,Hub_ID,Distance_to_Hub_km,Population_Baseline,Population_Affected_Est,Affected_Population_pct,Fatalities_Est,Injured_Est,Houses_Damaged_Est,Severity_Score,Infrastructure_Damage_Score,Accessibility_Score,Medical_Urgency_Score,Rainfall_mm,Wind_Speed_kmph,Temperature_C,Flood_Depth_m,River_Level_m,Storm_Surge_m,Wave_Height_m,Burned_Area_km2,Rainfall_Deficit_pct,Slope_Risk_Score,Rescue_Cases_Est,Road_Access_Score,Estimated_Travel_Time_min,Estimated_Relief_Time_min,Food_Required_packets,Water_Required_Liters,Medical_Kits_Required,Shelter_Spaces_Required,Priority_Score,Priority_Level,Required_Rescue_Personnel,Required_Distribution_Personnel,Required_Medical_Personnel,Recommended_Total_Personnel
ASM000011,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+6h,6,SIM001,11.748,79.7714,HUB002,0.0,450000,103623,23.03,30,1708,18478,51.3,45.49,73.19,37.18,238.93,118.28,26.73,1.09,5.26,2.23,0.0,0.0,0.0,0.0,1888,73.19,10.0,549.29,326959,529377,2658,17508,40.62,Low,236,308,72,616
ASM000012,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+6h,6,SIM002,11.748,79.7714,HUB002,0.0,450000,123478,27.44,25,1845,18768,47.63,39.64,75.09,37.14,244.61,93.94,28.71,1.1,4.92,2.02,0.0,0.0,0.0,0.0,2000,75.09,10.33,633.61,385711,416189,2826,14127,39.03,Low,250,367,77,694
ASM000013,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+6h,6,SIM003,11.748,79.7714,HUB002,0.0,450000,102250,22.72,24,1956,17788,49.13,43.58,78.62,34.7,195.88,140.3,31.73,1.14,4.81,2.7,0.0,0.0,0.0,0.0,1741,78.62,10.0,544.17,369413,433004,3689,13797,39.31,Low,218,307,82,607
ASM000014,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+6h,6,SIM004,11.748,79.7714,HUB002,0.0,450000,117745,26.17,14,2432,22475,47.95,53.93,77.87,39.69,178.68,75.6,25.16,0.92,4.98,2.12,0.0,0.0,0.0,0.0,1928,77.87,10.0,613.81,275580,446464,2442,17309,42.86,Low,241,347,101,689
ASM000015,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+6h,6,SIM005,11.748,79.7714,HUB002,0.0,450000,112960,25.1,32,1384,25170,49.71,48.38,72.25,38.35,274.0,71.52,25.68,1.16,4.82,1.85,0.0,0.0,0.0,0.0,1959,72.25,10.0,600.4,275798,618722,1473,27489,40.51,Low,245,334,59,638
ASM000016,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+12h,12,SIM001,11.748,79.7714,HUB002,0.0,450000,127521,28.34,46,2820,20489,61.95,49.87,67.42,53.25,344.77,85.31,27.73,0.95,6.21,2.14,0.0,0.0,0.0,0.0,3070,67.42,10.71,681.66,405409,959892,4741,35647,49.99,Moderate,384,399,118,901
ASM000017,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+12h,12,SIM002,11.748,79.7714,HUB002,0.0,450000,159341,35.41,22,1730,36131,65.16,61.0,70.96,40.15,361.15,120.68,26.64,1.31,5.17,2.58,0.0,0.0,0.0,0.0,4117,70.96,10.0,844.52,466678,572651,2439,36453,49.55,Moderate,515,486,73,1074
ASM000018,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+12h,12,SIM003,11.748,79.7714,HUB002,0.0,450000,136450,30.32,39,3303,30697,57.38,54.17,67.79,44.15,260.12,117.86,27.46,0.88,2.96,2.32,0.0,0.0,0.0,0.0,2941,67.79,10.0,727.91,510939,417851,6842,22655,48.29,Moderate,368,416,136,920
ASM000019,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+12h,12,SIM004,11.748,79.7714,HUB002,0.0,450000,129081,28.68,43,2238,33486,63.9,61.65,68.09,50.78,299.44,125.43,27.26,1.47,5.98,0.99,0.0,0.0,0.0,0.0,3246,68.09,10.0,713.54,384840,623864,3384,36613,51.45,Moderate,406,402,94,902
ASM000020,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+12h,12,SIM005,11.748,79.7714,HUB002,0.0,450000,125911,27.98,43,2804,16729,57.86,42.33,67.28,46.87,272.4,107.43,29.03,1.5,5.0,2.52,0.0,0.0,0.0,0.0,2748,67.28,10.0,658.67,334215,591237,3505,18199,46.26,Moderate,344,388,117,849
ASM000021,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+24h,24,SIM001,11.748,79.7714,HUB002,0.0,450000,183910,40.87,28,2351,39718,83.99,71.28,67.04,57.99,320.9,125.14,27.47,1.14,4.78,2.76,0.0,0.0,0.0,0.0,6657,67.04,10.09,1011.94,1018633,1198204,9625,70832,61.92,High,833,599,99,1531
ASM000022,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+24h,24,SIM002,11.748,79.7714,HUB002,0.0,450000,184632,41.03,65,2475,41977,85.5,75.6,63.12,61.24,376.89,145.75,26.63,1.98,4.26,3.15,0.0,0.0,0.0,0.0,6836,63.12,10.0,1024.07,731767,1032367,6210,63874,64.33,High,855,604,105,1564
ASM000023,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+24h,24,SIM003,11.748,79.7714,HUB002,0.0,450000,184632,41.03,55,2814,25408,82.24,51.38,78.12,59.94,246.87,123.3,24.04,1.46,5.75,3.47,0.0,0.0,0.0,0.0,6505,78.12,10.0,978.93,769937,1016105,7584,40791,58.14,Moderate,814,595,118,1527
ASM000024,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+24h,24,SIM004,11.748,79.7714,HUB002,0.0,450000,184632,41.03,50,2601,35135,83.83,67.0,66.53,66.0,363.11,98.12,25.35,1.08,6.95,2.41,0.0,0.0,0.0,0.0,6666,66.53,10.23,1010.6,573451,1231883,4611,65265,63.01,High,834,606,110,1550
ASM000025,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+24h,24,SIM005,11.748,79.7714,HUB002,0.0,450000,184632,41.03,79,4709,41040,87.45,72.53,60.2,67.21,275.84,120.87,30.15,0.62,7.23,3.2,0.0,0.0,0.0,0.0,7034,60.2,10.0,1039.12,689789,1483002,11059,90983,67.27,High,880,620,194,1694
ASM000026,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+36h,36,SIM001,11.748,79.7714,HUB002,0.0,450000,136033,30.23,24,1920,17702,67.27,49.0,72.51,44.69,310.98,120.83,26.51,1.37,6.44,3.29,0.0,0.0,0.0,0.0,3672,72.51,10.0,710.98,551606,479016,4673,13018,48.21,Moderate,459,420,81,960
ASM000027,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+36h,36,SIM002,11.748,79.7714,HUB002,0.0,450000,163006,36.22,58,4355,35510,68.64,65.28,70.66,51.38,325.2,121.45,29.8,1.33,5.99,2.3,0.0,0.0,0.0,0.0,4524,70.66,10.0,881.09,515302,899796,7496,46679,55.97,Moderate,566,517,179,1262
ASM000028,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+36h,36,SIM003,11.748,79.7714,HUB002,0.0,450000,139581,31.02,30,1362,12287,65.41,46.16,76.19,49.4,246.95,93.52,24.34,1.62,6.7,2.59,0.0,0.0,0.0,0.0,3626,76.19,10.0,714.26,594002,837275,3633,15871,47.02,Moderate,454,430,59,943
ASM000029,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+36h,36,SIM004,11.748,79.7714,HUB002,0.0,450000,162301,36.07,23,3993,33141,75.51,61.36,67.56,64.8,297.68,121.7,30.01,1.19,5.95,3.64,0.0,0.0,0.0,0.0,5117,67.56,10.0,896.39,582562,771289,8758,38459,59.78,Moderate,640,533,166,1339
ASM000030,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+36h,36,SIM005,11.748,79.7714,HUB002,0.0,450000,148039,32.9,50,2702,20723,70.79,58.94,64.04,55.11,311.77,119.2,30.75,1.9,4.28,1.44,0.0,0.0,0.0,0.0,4283,64.04,10.0,791.21,558713,1353664,6157,42046,55.17,Moderate,536,476,113,1125
ASM000031,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+48h,48,SIM001,11.748,79.7714,HUB002,0.0,450000,148649,33.03,38,1745,28301,68.67,56.78,71.67,48.09,330.44,127.01,28.11,1.01,5.5,2.42,0.0,0.0,0.0,0.0,4128,71.67,11.66,797.47,524521,746967,4894,31741,50.88,Moderate,516,465,74,1055
ASM000032,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+48h,48,SIM002,11.748,79.7714,HUB002,0.0,450000,159645,35.48,52,1996,17540,77.26,49.01,74.21,58.14,293.26,123.73,29.33,1.05,3.2,3.52,0.0,0.0,0.0,0.0,5188,74.21,10.0,847.64,939916,907108,12551,25034,54.35,Moderate,649,518,85,1252
ASM000033,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+48h,48,SIM003,11.748,79.7714,HUB002,0.0,450000,166881,37.08,31,1960,42225,70.83,62.69,65.66,54.83,330.72,129.79,30.05,1.63,4.53,1.98,0.0,0.0,0.0,0.0,4833,65.66,10.0,919.25,665927,1151308,6790,71999,55.1,Moderate,605,534,83,1222
ASM000034,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+48h,48,SIM004,11.748,79.7714,HUB002,0.0,450000,149206,33.16,35,3525,27594,64.85,50.14,68.51,49.11,326.61,109.35,24.44,1.47,5.13,2.39,0.0,0.0,0.0,0.0,3829,68.51,10.0,786.77,476029,741675,8534,31111,51.18,Moderate,479,459,146,1084
ASM000035,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+48h,48,SIM005,11.748,79.7714,HUB002,0.0,450000,159918,35.54,31,3086,31657,73.68,57.4,68.23,55.7,186.25,89.61,28.72,1.0,6.52,3.47,0.0,0.0,0.0,0.0,4881,68.23,10.0,868.69,759603,594858,13931,28570,56.26,Moderate,611,513,129,1253
ASM000036,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+72h,72,SIM001,11.748,79.7714,HUB002,0.0,450000,130262,28.95,13,2106,17473,64.12,38.92,76.24,42.86,322.01,113.33,30.53,1.61,4.63,2.42,0.0,0.0,0.0,0.0,3291,76.24,10.65,686.22,401511,649166,4720,17879,45.01,Moderate,412,404,88,904
ASM000037,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+72h,72,SIM002,11.748,79.7714,HUB002,0.0,450000,123559,27.46,41,1433,25099,60.21,57.24,68.44,43.42,247.44,132.79,30.44,1.31,4.75,2.73,0.0,0.0,0.0,0.0,2856,68.44,10.0,666.95,501931,942808,4870,34731,46.68,Moderate,357,382,61,800
ASM000038,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+72h,72,SIM003,11.748,79.7714,HUB002,0.0,450000,150794,33.51,49,3017,18785,64.4,44.07,71.57,48.23,272.33,118.28,24.85,1.45,4.42,3.52,0.0,0.0,0.0,0.0,3833,71.57,10.35,775.86,401233,782633,5544,22784,49.47,Moderate,480,464,125,1069
ASM000039,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+72h,72,SIM004,11.748,79.7714,HUB002,0.0,450000,126218,28.05,43,2866,31089,56.21,62.03,69.44,42.13,384.3,104.7,31.49,1.1,3.52,1.15,0.0,0.0,0.0,0.0,2640,69.44,11.32,688.07,373205,611954,6016,27215,48.36,Moderate,330,388,119,837
ASM000040,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+72h,72,SIM005,11.748,79.7714,HUB002,0.0,450000,129603,28.8,44,1723,18377,66.84,45.62,74.64,51.51,324.98,109.24,27.39,1.27,5.49,2.88,0.0,0.0,0.0,0.0,3469,74.64,10.94,690.72,534069,927158,6183,26428,48.18,Moderate,434,406,74,914
ASM000041,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+0h,0,SIM001,11.9401,79.4861,HUB002,37.69,500000,122271,24.45,19,2300,27437,43.78,46.35,66.67,35.92,238.6,84.24,25.14,1.21,4.68,2.66,0.0,0.0,0.0,0.0,1722,66.67,90.5,716.16,481039,533746,4953,23061,39.64,Low,216,355,95,666
ASM000042,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+0h,0,SIM002,11.9401,79.4861,HUB002,37.69,500000,125668,25.13,10,2842,27047,41.09,41.7,68.34,40.58,262.33,116.08,24.8,0.65,4.86,1.85,0.0,0.0,0.0,0.0,1583,68.34,88.19,727.32,438243,516287,5206,22181,39.56,Low,198,367,118,683
ASM000043,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+0h,0,SIM003,11.9401,79.4861,HUB002,37.69,500000,105171,21.03,20,1482,18455,40.78,45.31,66.87,32.06,161.11,108.09,28.79,1.51,5.2,1.78,0.0,0.0,0.0,0.0,1307,66.87,87.28,622.51,346016,515847,2400,14925,36.05,Low,164,306,62,532
ASM000044,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+0h,0,SIM004,11.9401,79.4861,HUB002,37.69,500000,119534,23.91,21,1135,13302,40.03,35.92,79.88,29.89,181.1,109.0,30.79,1.17,3.88,1.62,0.0,0.0,0.0,0.0,1436,79.88,83.96,669.05,378192,663039,1717,14252,32.49,Low,180,348,48,576
ASM000045,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+0h,0,SIM005,11.9401,79.4861,HUB002,37.69,500000,137417,27.48,44,1248,28528,42.04,51.45,61.09,27.54,209.38,109.58,24.29,1.65,4.76,2.08,0.0,0.0,0.0,0.0,1803,61.09,88.45,769.23,345401,1202173,1323,52848,37.64,Low,226,390,53,669
ASM000046,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+3h,3,SIM001,11.9401,79.4861,HUB002,37.69,500000,129218,25.84,42,2658,22601,50.97,50.93,59.53,47.26,263.43,95.0,30.97,1.06,4.83,1.62,0.0,0.0,0.0,0.0,2330,59.53,93.71,763.95,387003,765111,3987,27328,45.9,Moderate,292,397,111,800
ASM000047,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+3h,3,SIM002,11.9401,79.4861,HUB002,37.69,500000,130762,26.15,15,3051,17538,50.44,32.56,72.88,46.08,238.17,118.31,29.3,1.22,5.38,2.34,0.0,0.0,0.0,0.0,2320,72.88,87.93,750.88,411897,790024,4913,23288,41.45,Low,290,398,126,814
ASM000048,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+3h,3,SIM003,11.9401,79.4861,HUB002,37.69,500000,137400,27.48,39,1332,18482,50.48,45.99,59.77,41.3,374.99,74.22,27.28,0.99,4.07,3.01,0.0,0.0,0.0,0.0,2441,59.77,94.97,781.67,586367,573389,3317,17005,41.69,Low,306,411,57,774
ASM000049,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+3h,3,SIM004,11.9401,79.4861,HUB002,37.69,500000,104911,20.98,10,1593,10845,41.02,33.98,67.11,35.54,400.08,119.19,31.52,1.0,3.24,1.61,0.0,0.0,0.0,0.0,1318,67.11,88.8,613.33,378610,368847,3008,6526,34.84,Low,165,311,67,543
ASM000050,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+3h,3,SIM005,11.9401,79.4861,HUB002,37.69,500000,137997,27.6,42,1918,28765,43.85,50.15,69.63,35.97,243.55,83.48,30.19,0.74,4.92,2.02,0.0,0.0,0.0,0.0,1948,69.63,84.98,786.78,329252,673125,1951,30111,39.93,Low,244,409,80,733
ASM000051,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+6h,6,SIM001,11.9401,79.4861,HUB002,37.69,500000,147837,29.57,22,2845,27771,58.55,52.54,64.65,44.29,306.05,140.26,29.22,1.29,5.52,1.93,0.0,0.0,0.0,0.0,3282,64.65,83.93,850.3,556329,735058,5941,32721,47.86,Moderate,411,454,118,983
ASM000052,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+6h,6,SIM002,11.9401,79.4861,HUB002,37.69,500000,156996,31.4,43,2427,30369,54.54,51.49,76.72,41.85,275.93,129.52,25.95,1.44,4.66,2.84,0.0,0.0,0.0,0.0,3139,76.72,81.59,879.98,507427,578340,3993,27963,44.96,Low,393,471,101,965
ASM000053,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+6h,6,SIM003,11.9401,79.4861,HUB002,37.69,500000,143837,28.77,19,3604,16944,54.53,38.33,73.85,46.06,357.24,126.68,29.57,1.68,5.39,2.14,0.0,0.0,0.0,0.0,2875,73.85,80.75,804.83,438526,635109,5527,17914,44.19,Low,360,441,148,949
ASM000054,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+6h,6,SIM004,11.9401,79.4861,HUB002,37.69,500000,160617,32.12,47,2145,26257,54.93,47.35,69.17,46.64,316.07,109.05,28.77,1.32,4.9,1.85,0.0,0.0,0.0,0.0,3247,69.17,90.18,906.15,634293,844374,4861,35825,45.44,Moderate,406,492,90,988
ASM000055,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+6h,6,SIM005,11.9401,79.4861,HUB002,37.69,500000,149796,29.96,42,3657,18369,54.72,43.17,74.16,46.12,147.97,117.92,24.62,1.41,4.33,2.24,0.0,0.0,0.0,0.0,3011,74.16,82.68,827.9,642962,768898,9371,23135,45.39,Moderate,377,451,151,979
ASM000056,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+12h,12,SIM001,11.9401,79.4861,HUB002,37.69,500000,136349,27.27,41,1290,28894,65.81,59.13,68.82,43.16,286.28,143.29,24.18,1.66,4.1,2.13,0.0,0.0,0.0,0.0,3572,68.82,85.93,804.23,590083,765007,3308,35319,47.97,Moderate,447,415,56,918
ASM000057,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+12h,12,SIM002,11.9401,79.4861,HUB002,37.69,500000,145775,29.16,41,2977,31121,56.62,58.56,67.44,49.57,268.42,94.0,26.69,1.34,5.7,3.47,0.0,0.0,0.0,0.0,3082,67.44,82.03,844.13,432558,773987,4447,37671,49.44,Moderate,386,447,124,957
ASM000058,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+12h,12,SIM003,11.9401,79.4861,HUB002,37.69,500000,146386,29.28,30,2844,28819,60.12,62.29,60.37,43.14,257.43,119.63,28.07,1.53,5.43,2.73,0.0,0.0,0.0,0.0,3377,60.37,87.02,848.29,487279,644362,4918,28953,50.17,Moderate,423,448,118,989
ASM000059,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+12h,12,SIM004,11.9401,79.4861,HUB002,37.69,500000,135887,27.18,26,2654,27967,56.05,52.49,61.85,46.04,185.47,87.71,25.59,0.14,4.78,2.73,0.0,0.0,0.0,0.0,2830,61.85,88.27,795.46,508828,578379,5540,25767,47.19,Moderate,354,412,110,876
ASM000060,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+12h,12,SIM005,11.9401,79.4861,HUB002,37.69,500000,143695,28.74,39,2232,22265,60.67,53.67,66.81,45.29,268.93,118.55,24.69,1.13,5.34,1.81,0.0,0.0,0.0,0.0,3358,66.81,83.07,816.6,619325,517355,5737,18495,47.76,Moderate,420,437,94,951
ASM000061,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+24h,24,SIM001,11.9401,79.4861,HUB002,37.69,500000,191516,38.3,77,4960,20303,81.28,51.1,64.17,65.22,445.1,113.36,25.42,1.5,5.09,2.81,0.0,0.0,0.0,0.0,6647,64.17,92.79,1090.87,714271,1729803,11537,49872,60.4,High,831,625,204,1660
ASM000062,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+24h,24,SIM002,11.9401,79.4861,HUB002,37.69,500000,205146,41.03,79,4976,52986,80.56,67.78,60.38,66.62,350.89,138.36,31.96,1.57,5.62,1.72,0.0,0.0,0.0,0.0,7038,60.38,92.13,1234.66,809954,1255889,12674,89380,64.37,High,880,685,205,1770
ASM000063,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+24h,24,SIM003,11.9401,79.4861,HUB002,37.69,500000,172745,34.55,36,2032,36535,75.9,55.21,64.1,59.27,305.07,109.04,24.49,1.47,5.76,2.12,0.0,0.0,0.0,0.0,5484,64.1,87.14,1013.6,560940,956957,3755,48343,55.5,Moderate,686,551,87,1324
ASM000064,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+24h,24,SIM004,11.9401,79.4861,HUB002,37.69,500000,185860,37.17,64,4034,46758,78.46,69.65,58.38,62.7,384.69,146.83,25.92,1.7,7.33,3.05,0.0,0.0,0.0,0.0,6161,58.38,90.63,1108.72,596485,904315,7420,56175,62.63,High,771,602,167,1540
ASM000065,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+24h,24,SIM005,11.9401,79.4861,HUB002,37.69,500000,177797,35.56,48,4139,34831,79.29,58.72,57.16,61.22,307.03,124.34,25.39,1.58,5.52,3.24,0.0,0.0,0.0,0.0,5976,57.16,93.88,1049.29,854454,2195459,13871,105401,60.32,High,747,574,171,1492
ASM000066,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+36h,36,SIM001,11.9401,79.4861,HUB002,37.69,500000,205146,41.03,28,5309,46012,88.79,65.91,60.24,66.65,356.54,131.77,25.87,1.16,4.63,2.49,0.0,0.0,0.0,0.0,7967,60.24,86.01,1215.72,1124447,951464,22108,60326,66.35,High,996,680,218,1894
ASM000067,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+36h,36,SIM002,11.9401,79.4861,HUB002,37.69,500000,204759,40.95,21,4468,51562,85.67,76.48,54.17,62.29,293.81,153.57,28.9,1.37,7.11,1.79,0.0,0.0,0.0,0.0,7600,54.17,94.95,1229.76,837223,1153026,11795,78685,67.0,High,950,677,184,1811
ASM000068,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+36h,36,SIM003,11.9401,79.4861,HUB002,37.69,500000,205146,41.03,46,5841,23417,78.59,48.14,69.24,63.61,285.07,141.96,25.1,1.24,4.52,2.41,0.0,0.0,0.0,0.0,6815,69.24,81.4,1141.99,1022540,1302967,20867,43474,59.12,Moderate,852,664,239,1755
ASM000069,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+36h,36,SIM004,11.9401,79.4861,HUB002,37.69,500000,205146,41.03,42,3687,56425,83.9,75.71,47.54,58.01,323.61,100.4,24.93,1.45,6.03,2.28,0.0,0.0,0.0,0.0,7414,47.54,102.92,1231.83,910937,1490605,10837,111108,65.31,High,927,662,153,1742
ASM000070,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+36h,36,SIM005,11.9401,79.4861,HUB002,37.69,500000,205146,41.03,76,4164,28818,83.95,54.44,65.86,62.92,303.83,106.06,25.39,2.05,5.56,2.8,0.0,0.0,0.0,0.0,7421,65.86,90.69,1171.58,744895,1523604,9222,62063,61.77,High,928,669,172,1769
ASM000071,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+48h,48,SIM001,11.9401,79.4861,HUB002,37.69,500000,189046,37.81,72,3444,22151,85.73,51.17,64.76,64.57,250.06,130.17,24.22,1.36,6.03,2.68,0.0,0.0,0.0,0.0,7024,64.76,86.89,1081.27,843088,1717667,14624,54596,60.82,High,878,618,144,1640
ASM000072,EVT001,LOC031,Villupuram,Villupuram Response Zone,T+48h,48,SIM002,11.9401,79.4861,HUB002,37.69,500000,173896,34.78,64,2358,32654,79.78,65.1,61.38,56.16,418.33,155.91,27.09,1.24,5.07,3.27,0.0,0.0,0.0,0.0,5891,61.38,90.84,1022.5,967356,1193973,13511,52713,58.6,Moderate,737,560,99,1396
