Record_ID,State,Event_Date,Event_Name,Disaster_Type,District,Response_Zone,Assessment_Window,Scenario_Variant,Data_Type,Real_Anchor,Operational_Data_Status,Event_Date,Event_Name,Disaster_Type,District,Response_Zone,Assessment_Window,Population_Baseline_Est,Population_Affected_Est,Severity_Score,Fatalities_Est,Injured_Est,Houses_Damaged_Est,Infrastructure_Damage_Index,Rainfall_mm,Wind_Speed_kmph,Duration_Days,Accessibility_Score,Medical_Urgency_Score,Food_Stock_Available_packets,Water_Stock_Available_Liters,Medical_Kits_Available,Shelter_Capacity,Food_Required_packets,Water_Required_Liters,Medical_Kits_Required,Shelter_Spaces_Required,Food_Shortage_pct,Water_Shortage_pct,Medical_Shortage_pct,Shelter_Shortage_pct,Priority_Score,Rescue_Cases_Est,Required_Rescue_Personnel,Required_Distribution_Personnel,Required_Medical_Personnel,Recommended_Total_Personnel,Estimated_Distance_to_Hub_km,Estimated_Travel_Time_min,Estimated_Relief_Time_min
TNDR-00018,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Panruti,T+3h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Panruti,T+3h,442926,184742,8.8,181,1558,5590,69011.4,288.1,139.0,6,21.8,96.5,259198,312794,2112,22554,237647,430525,2117,36382,0.0,27.3,0.2,38.0,71.6,5270,674,542,103,1319,6.7,12.3,48081.6
TNDR-00019,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Panruti,T+6h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Panruti,T+6h,338960,145224,8.8,134,1240,19524,54653.1,369.7,121.3,4,28.4,100.0,166106,337301,1382,14789,223532,397538,1519,16139,25.7,15.2,9.0,8.4,71.3,4220,752,506,110,1368,44.9,82.6,49051.1
TNDR-00020,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Panruti,T+12h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Panruti,T+12h,435088,188880,9.1,165,1617,8732,74933.7,310.0,136.5,6,18.7,100.0,225002,428470,2220,21793,325629,568763,2959,31259,30.9,24.7,25.0,30.3,76.3,3645,636,733,127,1496,31.8,59.2,47205.7
TNDR-00021,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Panruti,T+24h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Panruti,T+24h,447844,189191,8.5,170,1565,12289,87460.4,428.4,95.3,2,15.8,85.7,185620,574818,1390,34546,314098,544861,1799,30060,40.9,0.0,22.7,0.0,69.6,6816,1248,485,105,1838,32.7,59.3,63388.3
TNDR-00022,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Panruti,T+36h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Panruti,T+36h,402922,173545,8.1,154,1390,12006,24955.6,405.2,108.3,4,28.5,96.5,190978,674769,1834,26170,299746,597106,2724,31343,36.3,0.0,32.7,16.5,69.4,3484,541,442,114,1097,46.6,83.0,33102.8
TNDR-00023,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Panruti,T+48h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Panruti,T+48h,320272,140530,8.0,101,1221,7408,35968.9,160.3,107.5,4,30.3,99.8,118522,272332,1299,14033,167782,344077,1407,15624,29.4,20.9,7.7,10.2,68.8,4727,592,403,88,1083,33.9,60.1,36008.3
TNDR-00024,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Panruti,T+72h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Panruti,T+72h,388847,175285,8.9,161,1503,22839,61187.5,253.1,118.8,5,20.0,100.0,206030,291161,3215,26210,189930,344383,3063,31764,0.0,15.5,0.0,17.5,72.2,5488,954,627,96,1677,53.5,98.8,52113.1
TNDR-00025,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Virudhachalam,T+0h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Virudhachalam,T+0h,325695,84178,7.7,59,736,5912,21607.5,179.0,124.5,4,27.4,86.1,75784,116331,1273,6703,89960,151233,1433,9348,15.8,23.1,11.2,28.3,63.1,2784,380,386,70,836,8.0,14.1,32679.7
TNDR-00026,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Virudhachalam,T+3h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Virudhachalam,T+3h,462360,127048,7.8,94,1082,11793,12389.6,191.6,127.3,1,17.9,97.7,94918,327353,719,8630,155861,335486,1146,13272,39.1,2.4,37.3,35.0,69.3,3427,494,381,85,960,50.7,89.2,26809.3
TNDR-00027,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Virudhachalam,T+6h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Virudhachalam,T+6h,445287,146238,8.7,128,1230,5540,58265.9,353.2,115.9,6,25.9,97.6,150699,397659,2160,12126,236537,377775,2274,21829,36.3,0.0,5.0,44.5,70.2,4492,597,399,82,1078,8.2,14.9,34393.2
TNDR-00028,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Virudhachalam,T+12h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Virudhachalam,T+12h,454022,148068,8.5,131,1227,9289,24767.9,381.5,136.3,6,27.3,100.0,171313,347427,1563,18451,226310,487191,2081,16614,24.3,28.7,24.9,0.0,69.5,4292,571,466,106,1143,10.6,19.1,37581.3
TNDR-00029,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Virudhachalam,T+24h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Virudhachalam,T+24h,460765,110937,7.5,79,920,4826,19456.8,386.2,138.3,3,24.4,92.6,194524,265142,1446,13823,218648,377639,1345,18030,11.0,29.8,0.0,23.3,63.4,3996,794,343,86,1223,25.2,43.9,25874.8
TNDR-00030,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Virudhachalam,T+36h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Virudhachalam,T+36h,438806,139025,9.1,130,1154,13706,47138.9,303.4,142.4,4,21.0,100.0,188302,374991,1946,15373,219007,437669,1885,13398,14.0,14.3,0.0,0.0,70.1,2827,382,369,112,863,36.7,68.2,26102.8
TNDR-00031,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Virudhachalam,T+48h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Virudhachalam,T+48h,384331,96375,8.4,70,847,8950,22140.8,260.5,113.8,4,26.8,100.0,139654,253812,1131,20067,138231,268704,1702,18423,0.0,5.5,33.5,0.0,66.3,2829,383,356,56,795,6.5,11.8,24355.1
TNDR-00032,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Virudhachalam,T+72h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Virudhachalam,T+72h,388688,115137,8.1,98,976,9207,15603.0,88.3,121.1,6,35.8,96.6,96247,210962,1107,10753,99507,243164,1696,12441,3.3,13.2,34.7,13.6,65.0,3919,527,400,72,999,14.6,26.0,34278.6
TNDR-00033,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Villupuram,T+0h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Villupuram,T+0h,264970,101321,9.0,77,830,3831,34836.1,212.8,106.5,3,24.6,96.6,107163,176005,1511,9078,109004,159265,1459,11416,1.7,0.0,0.0,20.5,69.3,3091,426,362,60,848,22.3,41.3,33228.1
TNDR-00034,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Villupuram,T+3h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Villupuram,T+3h,343708,123251,8.3,97,1029,10999,30295.3,219.5,114.2,5,23.5,100.0,80924,200387,1041,12029,144428,300273,1374,11482,44.0,33.3,24.2,0.0,71.2,4305,729,477,70,1276,14.1,25.3,31921.9
TNDR-00035,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Villupuram,T+6h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Villupuram,T+6h,248081,86788,7.8,71,744,2881,25212.3,158.5,113.5,6,28.9,100.0,114227,203160,1412,15819,134605,248764,1265,16083,15.1,18.3,0.0,1.6,65.6,2261,319,272,66,657,24.6,43.3,18965.4
TNDR-00036,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Villupuram,T+12h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Villupuram,T+12h,320601,123435,8.6,97,1016,13970,48793.0,248.0,132.4,5,29.6,100.0,204375,306889,1400,8880,196371,341009,1968,11479,0.0,10.0,28.9,22.6,69.6,3516,648,410,101,1159,44.7,81.2,31401.9
TNDR-00037,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Villupuram,T+24h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Villupuram,T+24h,269764,101332,8.6,101,830,8515,12732.7,388.8,118.0,4,29.4,94.7,205403,446572,777,8229,186175,402001,1041,8557,0.0,0.0,25.4,3.8,67.0,3596,654,309,69,1032,19.7,35.9,34120.0
TNDR-00038,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Villupuram,T+36h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Villupuram,T+36h,260098,100075,9.0,84,906,3981,41273.7,334.8,158.3,6,17.4,93.7,109585,315711,955,9216,145078,299229,1415,13026,24.5,0.0,32.5,29.2,72.9,2942,405,271,58,734,41.6,77.2,23838.9
TNDR-00039,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Villupuram,T+48h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Villupuram,T+48h,257009,100410,8.4,74,860,8447,28172.3,270.6,132.5,4,29.9,91.9,153394,264787,1132,14580,142681,259066,1181,17896,0.0,0.0,4.1,18.5,65.6,3332,502,317,62,881,37.0,66.8,30785.0
TNDR-00040,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Villupuram,T+72h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Villupuram,T+72h,243186,83224,8.5,59,710,6110,15211.1,192.2,89.4,6,34.8,100.0,67408,100423,694,6391,81184,137043,978,11399,17.0,26.7,29.0,43.9,70.3,1813,340,323,56,719,6.5,11.9,24788.2
TNDR-00041,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Tindivanam,T+0h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Tindivanam,T+0h,353693,136388,8.1,130,1150,8439,44697.2,196.7,122.9,5,33.0,86.4,167247,310917,1695,11511,149879,284854,2284,13932,0.0,0.0,25.8,17.4,63.7,4752,773,527,87,1387,16.1,28.8,37950.1
TNDR-00042,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Tindivanam,T+3h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Tindivanam,T+3h,270747,119539,8.5,86,1051,12733,27331.1,283.1,116.6,4,28.3,100.0,147638,309869,1490,8834,156461,296281,1391,11113,5.6,0.0,0.0,20.5,69.0,4067,772,522,82,1376,32.8,59.5,36101.2
TNDR-00043,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Tindivanam,T+6h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Tindivanam,T+6h,318884,145935,8.2,121,1223,16139,60588.0,289.9,107.9,8,28.8,95.7,206394,370608,1280,19426,203779,402160,1362,28073,0.0,7.8,6.0,30.8,68.1,4642,865,402,92,1359,23.5,42.1,37247.9
TNDR-00044,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Tindivanam,T+12h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Tindivanam,T+12h,252608,108388,8.5,85,937,4272,21265.0,297.3,126.9,3,41.5,100.0,184933,224635,1113,16613,177646,311587,1061,17871,0.0,27.9,0.0,7.0,66.8,2694,401,300,66,767,25.5,46.2,23617.3
TNDR-00045,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Tindivanam,T+24h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Tindivanam,T+24h,335165,148456,8.8,120,1267,14278,59173.7,293.3,127.9,4,25.8,100.0,264724,385053,2397,29070,277649,436187,2169,27812,4.7,11.7,0.0,0.0,69.8,4480,593,472,101,1166,30.7,56.3,38903.4
TNDR-00046,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Tindivanam,T+36h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Tindivanam,T+36h,335266,164888,9.0,167,1340,12484,27269.7,445.9,138.5,5,31.5,95.1,187541,458810,2357,26684,244912,465814,2978,23577,23.4,1.5,20.9,0.0,70.7,5239,893,420,97,1410,7.1,13.2,37862.2
TNDR-00047,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Tindivanam,T+48h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Tindivanam,T+48h,291471,139674,9.0,137,1164,16883,22409.4,168.2,117.2,5,10.1,90.2,170519,329718,938,24592,163235,345330,1538,23334,0.0,4.5,39.0,0.0,73.1,3083,598,386,78,1062,40.9,75.8,28269.4
TNDR-00048,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Tindivanam,T+72h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Tindivanam,T+72h,306517,140252,7.9,124,1182,4358,28554.2,170.9,146.4,4,23.1,87.0,89046,174573,2591,12670,137779,255040,2400,18285,35.4,31.6,0.0,30.7,68.7,4719,826,538,96,1460,47.8,84.4,41200.6
TNDR-00049,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Gingee,T+0h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Gingee,T+0h,356951,103920,8.0,88,952,11659,21201.2,220.9,114.3,5,27.7,97.1,88722,184957,1866,7972,103920,194579,1723,10827,14.6,4.9,0.0,26.4,65.5,3355,505,344,72,921,52.6,93.6,28572.0
TNDR-00050,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Gingee,T+3h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Gingee,T+3h,252998,79574,7.7,65,632,2791,32619.0,239.6,80.5,4,33.6,94.2,110738,180208,940,10137,111573,178883,1038,13410,0.7,0.0,9.4,24.4,62.6,2247,377,286,61,724,40.4,70.8,22830.5
TNDR-00051,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Gingee,T+6h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Villupuram,Gingee,T+6h,253889,82315,8.1,67,649,7944,29893.8,377.5,126.7,5,22.0,97.9,87752,138224,850,6266,106422,229857,953,10826,17.5,39.9,10.8,42.1,70.3,3103,418,236,59,713,42.0,74.8,28505.7
