Assessment_ID,Event_ID,District,Response_Zone,Hours_Since_Disaster,Hub_ID,Priority_Score,Priority_Level,Estimated_Travel_Time_min,Distance_to_Hub_km,Predicted_Food_Demand,Food_Allocated,Food_Unmet,Remaining_Food_Inventory,Predicted_Water_Demand,Water_Allocated,Water_Unmet,Remaining_Water_Inventory,Predicted_Medical_Demand,Medical_Allocated,Medical_Unmet,Remaining_Medical_Inventory,Predicted_Shelter_Demand,Shelter_Allocated,Shelter_Unmet,Remaining_Shelter_Inventory
ASM000069,EVT001,Villupuram,Villupuram Response Zone,36,HUB002,65.31,High,102.92,37.69,871921,0.0,871921.0,0.0,1420687,0.0,1420687.0,0.0,10768,0.0,10768.0,0.0,98365,0.0,98365.0,0.0
ASM000070,EVT001,Villupuram,Villupuram Response Zone,36,HUB002,61.77,High,90.69,37.69,871581,0.0,871581.0,0.0,1401072,0.0,1401072.0,0.0,10867,0.0,10867.0,0.0,52322,0.0,52322.0,0.0
ASM000071,EVT001,Villupuram,Villupuram Response Zone,48,HUB002,60.82,High,86.89,37.69,821300,0.0,821300.0,0.0,1533483,0.0,1533483.0,0.0,14701,0.0,14701.0,0.0,47285,0.0,47285.0,0.0
ASM000072,EVT001,Villupuram,Villupuram Response Zone,48,HUB002,58.6,Moderate,90.84,37.69,796501,0.0,796501.0,0.0,1169995,0.0,1169995.0,0.0,10710,0.0,10710.0,0.0,51690,0.0,51690.0,0.0
ASM000073,EVT001,Villupuram,Villupuram Response Zone,48,HUB002,59.48,Moderate,88.07,37.69,764795,0.0,764795.0,0.0,1045012,0.0,1045012.0,0.0,7361,0.0,7361.0,0.0,75932,0.0,75932.0,0.0
ASM000074,EVT001,Villupuram,Villupuram Response Zone,48,HUB002,58.66,Moderate,89.15,37.69,907292,0.0,907292.0,0.0,1138139,0.0,1138139.0,0.0,22529,0.0,22529.0,0.0,40374,0.0,40374.0,0.0
ASM000075,EVT001,Villupuram,Villupuram Response Zone,48,HUB002,60.86,High,93.97,37.69,645943,0.0,645943.0,0.0,1145749,0.0,1145749.0,0.0,11419,0.0,11419.0,0.0,67206,0.0,67206.0,0.0
ASM000076,EVT001,Villupuram,Villupuram Response Zone,72,HUB002,51.78,Moderate,86.74,37.69,616969,0.0,616969.0,0.0,1042734,0.0,1042734.0,0.0,13397,0.0,13397.0,0.0,53801,0.0,53801.0,0.0
ASM000077,EVT001,Villupuram,Villupuram Response Zone,72,HUB002,56.8,Moderate,94.67,37.69,611340,0.0,611340.0,0.0,896974,0.0,896974.0,0.0,13032,0.0,13032.0,0.0,46231,0.0,46231.0,0.0
ASM000078,EVT001,Villupuram,Villupuram Response Zone,72,HUB002,51.22,Moderate,86.57,37.69,649619,0.0,649619.0,0.0,1051917,0.0,1051917.0,0.0,5877,0.0,5877.0,0.0,54486,0.0,54486.0,0.0
ASM000079,EVT001,Villupuram,Villupuram Response Zone,72,HUB002,49.75,Moderate,87.84,37.69,704115,0.0,704115.0,0.0,1033258,0.0,1033258.0,0.0,7843,0.0,7843.0,0.0,36242,0.0,36242.0,0.0
ASM000080,EVT001,Villupuram,Villupuram Response Zone,72,HUB002,56.76,Moderate,87.12,37.69,649563,0.0,649563.0,0.0,1197278,0.0,1197278.0,0.0,12736,0.0,12736.0,0.0,33722,0.0,33722.0,0.0
ASM000081,EVT001,Pudukkottai,Pudukkottai Response Zone,0,HUB002,40.46,Low,102.55,47.41,329179,0.0,329179.0,31715.0,449614,0.0,449614.0,104013.0,3078,0.0,3078.0,396.0,10364,0.0,10364.0,13812.0
ASM000082,EVT001,Pudukkottai,Pudukkottai Response Zone,0,HUB002,38.48,Low,104.02,47.41,339631,0.0,339631.0,31715.0,444688,0.0,444688.0,104013.0,2853,0.0,2853.0,396.0,9442,0.0,9442.0,13812.0
ASM000083,EVT001,Pudukkottai,Pudukkottai Response Zone,0,HUB002,41.72,Low,116.48,47.41,347339,0.0,347339.0,31715.0,445045,0.0,445045.0,104013.0,3342,0.0,3342.0,396.0,20212,0.0,20212.0,13812.0
ASM000084,EVT001,Pudukkottai,Pudukkottai Response Zone,0,HUB002,39.75,Low,112.0,47.41,319117,0.0,319117.0,31715.0,453649,0.0,453649.0,104013.0,2051,0.0,2051.0,396.0,21316,0.0,21316.0,13812.0
ASM000085,EVT001,Pudukkottai,Pudukkottai Response Zone,0,HUB002,35.98,Low,102.74,47.41,311482,0.0,311482.0,31715.0,450853,0.0,450853.0,104013.0,2209,0.0,2209.0,396.0,9464,0.0,9464.0,13812.0
ASM000086,EVT001,Pudukkottai,Pudukkottai Response Zone,3,HUB002,42.09,Low,112.23,47.41,247897,0.0,247897.0,31715.0,385693,0.0,385693.0,104013.0,2274,0.0,2274.0,396.0,13515,0.0,13515.0,13812.0
ASM000087,EVT001,Pudukkottai,Pudukkottai Response Zone,3,HUB002,32.71,Low,104.85,47.41,191089,0.0,191089.0,31715.0,237363,0.0,237363.0,104013.0,1528,0.0,1528.0,396.0,4380,0.0,4380.0,13812.0
ASM000088,EVT001,Pudukkottai,Pudukkottai Response Zone,3,HUB002,36.15,Low,103.18,47.41,281917,0.0,281917.0,31715.0,370275,0.0,370275.0,104013.0,2240,0.0,2240.0,396.0,8440,0.0,8440.0,13812.0
ASM000089,EVT001,Pudukkottai,Pudukkottai Response Zone,3,HUB002,39.67,Low,115.91,47.41,243069,0.0,243069.0,31715.0,408672,0.0,408672.0,104013.0,2733,0.0,2733.0,396.0,14995,0.0,14995.0,13812.0
ASM000090,EVT001,Pudukkottai,Pudukkottai Response Zone,3,HUB002,36.45,Low,110.6,47.41,265244,0.0,265244.0,31715.0,382668,0.0,382668.0,104013.0,3247,0.0,3247.0,396.0,10164,0.0,10164.0,13812.0
ASM000091,EVT001,Pudukkottai,Pudukkottai Response Zone,6,HUB002,44.88,Low,106.08,47.41,405158,0.0,405158.0,31715.0,510549,0.0,510549.0,104013.0,4543,0.0,4543.0,396.0,11750,0.0,11750.0,13812.0
ASM000092,EVT001,Pudukkottai,Pudukkottai Response Zone,6,HUB002,43.18,Low,108.53,47.41,430977,0.0,430977.0,31715.0,544279,0.0,544279.0,104013.0,2006,0.0,2006.0,396.0,20948,0.0,20948.0,13812.0
ASM000093,EVT001,Pudukkottai,Pudukkottai Response Zone,6,HUB002,44.08,Low,110.76,47.41,348353,0.0,348353.0,31715.0,448070,0.0,448070.0,104013.0,2404,0.0,2404.0,396.0,16031,0.0,16031.0,13812.0
ASM000094,EVT001,Pudukkottai,Pudukkottai Response Zone,6,HUB002,45.42,Moderate,116.6,47.41,349899,0.0,349899.0,31715.0,470496,0.0,470496.0,104013.0,2391,0.0,2391.0,396.0,25351,0.0,25351.0,13812.0
ASM000095,EVT001,Pudukkottai,Pudukkottai Response Zone,6,HUB002,42.98,Low,113.34,47.41,288601,0.0,288601.0,31715.0,370908,0.0,370908.0,104013.0,1350,0.0,1350.0,396.0,17159,0.0,17159.0,13812.0
ASM000096,EVT001,Pudukkottai,Pudukkottai Response Zone,12,HUB002,48.1,Moderate,111.23,47.41,371643,0.0,371643.0,31715.0,475330,0.0,475330.0,104013.0,4067,0.0,4067.0,396.0,16591,0.0,16591.0,13812.0
ASM000097,EVT001,Pudukkottai,Pudukkottai Response Zone,12,HUB002,49.38,Moderate,114.81,47.41,379541,0.0,379541.0,31715.0,499373,0.0,499373.0,104013.0,5512,0.0,5512.0,396.0,15153,0.0,15153.0,13812.0
ASM000098,EVT001,Pudukkottai,Pudukkottai Response Zone,12,HUB002,48.69,Moderate,115.67,47.41,361591,0.0,361591.0,31715.0,457725,0.0,457725.0,104013.0,3022,0.0,3022.0,396.0,14462,0.0,14462.0,13812.0
ASM000099,EVT001,Pudukkottai,Pudukkottai Response Zone,12,HUB002,52.2,Moderate,114.68,47.41,433406,0.0,433406.0,31715.0,482659,0.0,482659.0,104013.0,5349,0.0,5349.0,396.0,27751,0.0,27751.0,13812.0
ASM000100,EVT001,Pudukkottai,Pudukkottai Response Zone,12,HUB002,52.07,Moderate,100.89,47.41,421565,0.0,421565.0,31715.0,608504,0.0,608504.0,104013.0,4578,0.0,4578.0,396.0,24908,0.0,24908.0,13812.0
ASM000101,EVT001,Pudukkottai,Pudukkottai Response Zone,24,HUB002,51.57,Moderate,112.1,47.41,440278,0.0,440278.0,0.0,782375,0.0,782375.0,0.0,4023,0.0,4023.0,0.0,28408,0.0,28408.0,0.0
ASM000102,EVT001,Pudukkottai,Pudukkottai Response Zone,24,HUB002,63.35,High,119.98,47.41,494492,0.0,494492.0,0.0,730755,0.0,730755.0,0.0,5913,0.0,5913.0,0.0,40151,0.0,40151.0,0.0
ASM000103,EVT001,Pudukkottai,Pudukkottai Response Zone,24,HUB002,61.85,High,113.2,47.41,591000,0.0,591000.0,0.0,878251,0.0,878251.0,0.0,4542,0.0,4542.0,0.0,46455,0.0,46455.0,0.0
ASM000104,EVT001,Pudukkottai,Pudukkottai Response Zone,24,HUB002,56.67,Moderate,108.12,47.41,452317,0.0,452317.0,0.0,743190,0.0,743190.0,0.0,6547,0.0,6547.0,0.0,19016,0.0,19016.0,0.0
ASM000105,EVT001,Pudukkottai,Pudukkottai Response Zone,24,HUB002,55.96,Moderate,104.59,47.41,557829,0.0,557829.0,0.0,910955,0.0,910955.0,0.0,4682,0.0,4682.0,0.0,30642,0.0,30642.0,0.0
ASM000106,EVT001,Pudukkottai,Pudukkottai Response Zone,36,HUB002,54.1,Moderate,111.94,47.41,453567,0.0,453567.0,0.0,573536,0.0,573536.0,0.0,7672,0.0,7672.0,0.0,21228,0.0,21228.0,0.0
ASM000107,EVT001,Pudukkottai,Pudukkottai Response Zone,36,HUB002,62.82,High,110.2,47.41,694779,0.0,694779.0,0.0,924748,0.0,924748.0,0.0,13964,0.0,13964.0,0.0,59366,0.0,59366.0,0.0
ASM000108,EVT001,Pudukkottai,Pudukkottai Response Zone,36,HUB002,61.53,High,114.02,47.41,605250,0.0,605250.0,0.0,862766,0.0,862766.0,0.0,5465,0.0,5465.0,0.0,53475,0.0,53475.0,0.0
ASM000109,EVT001,Pudukkottai,Pudukkottai Response Zone,36,HUB002,63.58,High,113.28,47.41,611260,0.0,611260.0,0.0,814337,0.0,814337.0,0.0,9848,0.0,9848.0,0.0,51308,0.0,51308.0,0.0
ASM000110,EVT001,Pudukkottai,Pudukkottai Response Zone,36,HUB002,58.53,Moderate,116.68,47.41,506453,0.0,506453.0,0.0,818384,0.0,818384.0,0.0,3138,0.0,3138.0,0.0,51734,0.0,51734.0,0.0
ASM000111,EVT001,Pudukkottai,Pudukkottai Response Zone,48,HUB002,53.11,Moderate,113.73,47.41,437842,0.0,437842.0,0.0,875568,0.0,875568.0,0.0,6439,0.0,6439.0,0.0,40437,0.0,40437.0,0.0
