Inventory_ID,Hub_ID,Event_ID,Food_Available_packets,Water_Available_Liters,Medical_Kits_Available,Shelter_Capacity_Available,Vehicles_Available,Vehicle_Capacity,Rescue_Personnel_Available,Distribution_Personnel_Available,Medical_Personnel_Available
INV00046,HUB006,EVT005,82824,280793,955,36665,12,730,247,227,59
INV00047,HUB007,EVT005,35010,118692,404,15498,12,726,104,96,25
INV00048,HUB008,EVT005,69815,236690,805,30906,13,730,208,191,50
INV00049,HUB009,EVT005,32422,109920,374,14353,9,671,97,89,23
INV00050,HUB010,EVT005,44792,151854,516,19828,9,717,134,123,32
INV00051,HUB001,EVT006,264715,909208,3295,118283,12,780,766,721,170
INV00052,HUB002,EVT006,230128,790413,2865,102829,12,673,666,627,147
INV00053,HUB003,EVT006,146272,502394,1821,65359,13,768,423,398,94
INV00054,HUB004,EVT006,171103,587683,2130,76455,10,691,495,466,110
INV00055,HUB005,EVT006,108246,371789,1348,48368,11,665,313,295,69
INV00056,HUB006,EVT006,158905,545786,1978,71004,11,747,460,433,102
INV00057,HUB007,EVT006,114432,393035,1425,51132,12,664,331,312,73
INV00058,HUB008,EVT006,104320,358304,1299,46614,13,757,302,284,67
INV00059,HUB009,EVT006,54670,187772,681,24428,9,707,158,149,35
INV00060,HUB010,EVT006,66236,227500,825,29597,8,723,192,180,42
INV00061,HUB001,EVT007,41605,145689,475,17948,11,733,105,108,27
INV00062,HUB002,EVT007,74537,261007,851,32155,9,763,187,193,48
INV00063,HUB003,EVT007,98936,346447,1129,42680,11,751,249,256,64
INV00064,HUB004,EVT007,89534,313521,1022,38624,11,627,225,232,57
INV00065,HUB005,EVT007,97764,342340,1116,42174,11,731,246,253,63
INV00066,HUB006,EVT007,107093,375007,1222,46199,13,645,269,278,69
INV00067,HUB007,EVT007,94688,331570,1081,40848,10,707,238,245,61
INV00068,HUB008,EVT007,98965,346546,1130,42693,13,638,249,257,64
INV00069,HUB009,EVT007,73680,258005,841,31785,13,741,185,191,47
INV00070,HUB010,EVT007,70146,245629,801,30260,12,713,176,182,45
INV00071,HUB001,EVT008,215619,745858,2618,94491,12,659,582,605,132
INV00072,HUB002,EVT008,168703,583568,2049,73931,12,655,456,473,104
INV00073,HUB003,EVT008,209223,723733,2541,91688,13,670,565,587,128
INV00074,HUB004,EVT008,187228,647651,2274,82049,13,785,506,525,115
INV00075,HUB005,EVT008,150628,521045,1829,66010,9,658,407,422,93
INV00076,HUB006,EVT008,260812,902189,3167,114296,15,701,704,731,160
INV00077,HUB007,EVT008,112560,389363,1367,49327,12,737,304,316,69
INV00078,HUB008,EVT008,130476,451336,1584,57179,11,734,352,366,80
INV00079,HUB009,EVT008,73486,254199,892,32204,8,600,198,206,45
INV00080,HUB010,EVT008,125685,434763,1526,55079,9,668,339,352,77
INV00081,HUB001,EVT009,160038,558083,1920,70503,15,651,418,440,121
INV00082,HUB002,EVT009,145571,507635,1746,64130,13,657,380,400,110
INV00083,HUB003,EVT009,84722,295441,1016,37324,13,653,221,233,64
INV00084,HUB004,EVT009,118156,412033,1417,52053,12,722,308,325,89
INV00085,HUB005,EVT009,110563,385555,1326,48708,11,691,289,304,84
INV00086,HUB006,EVT009,79544,277385,954,35043,13,675,208,219,60
INV00087,HUB007,EVT009,85836,299328,1030,37815,12,615,224,236,65
INV00088,HUB008,EVT009,85450,297980,1025,37644,10,769,223,235,65
INV00089,HUB009,EVT009,70422,245574,845,31024,8,701,184,194,53
INV00090,HUB010,EVT009,46697,162843,560,20572,8,622,122,128,35
INV00091,HUB001,EVT010,360713,1237246,4521,149188,14,654,825,979,250
INV00092,HUB002,EVT010,465129,1595394,5830,192374,15,679,1063,1262,323
INV00093,HUB003,EVT010,386560,1325900,4845,159878,13,675,884,1049,268
INV00094,HUB004,EVT010,348973,1196979,4374,144333,10,655,798,947,242
INV00095,HUB005,EVT010,381970,1310156,4787,157980,13,722,873,1037,265
INV00096,HUB006,EVT010,419573,1439136,5259,173532,12,694,959,1139,291
INV00097,HUB007,EVT010,242086,830356,3034,100125,9,674,553,657,168
INV00098,HUB008,EVT010,337430,1157386,4229,139559,12,657,771,916,234
INV00099,HUB009,EVT010,223500,766604,2801,92438,9,682,511,607,155
INV00100,HUB010,EVT010,107612,369109,1349,44508,7,657,246,292,75
INV00101,HUB001,EVT011,299979,1012523,3861,135945,12,704,927,837,477
INV00102,HUB002,EVT011,393888,1329495,5070,178503,13,757,1217,1099,626
INV00103,HUB003,EVT011,341700,1153347,4398,154853,12,742,1056,953,543
INV00104,HUB004,EVT011,406947,1373574,5238,184421,10,764,1257,1135,647
INV00105,HUB005,EVT011,449317,1516585,5784,203622,12,729,1388,1253,714
INV00106,HUB006,EVT011,398696,1345723,5132,180682,10,713,1232,1112,633
INV00107,HUB007,EVT011,282919,954941,3642,128214,10,704,874,789,450
INV00108,HUB008,EVT011,420203,1418318,5409,190429,13,718,1298,1172,668
INV00109,HUB009,EVT011,374622,1264466,4822,169772,12,624,1158,1045,595
INV00110,HUB010,EVT011,276867,934513,3564,125471,11,762,856,772,440
INV00111,HUB001,EVT012,97007,311091,1113,39865,13,653,228,254,104
INV00112,HUB002,EVT012,139095,446062,1596,57161,12,696,327,365,149
INV00113,HUB003,EVT012,76203,244375,874,31315,12,620,179,200,82
INV00114,HUB004,EVT012,147467,472911,1692,60601,11,723,347,387,158
INV00115,HUB005,EVT012,105722,339037,1213,43446,12,764,249,277,113
INV00116,HUB006,EVT012,148046,474767,1699,60839,14,731,349,388,159
INV00117,HUB007,EVT012,81882,262585,940,33649,11,741,193,215,88
INV00118,HUB008,EVT012,115307,369778,1323,47385,12,738,271,302,124
INV00119,HUB009,EVT012,45073,144544,517,18523,9,681,106,118,48
INV00120,HUB010,EVT012,70047,224634,804,28786,10,629,165,184,75
INV00121,HUB001,EVT013,77490,261590,1081,36421,11,742,255,219,84
INV00122,HUB002,EVT013,118598,400360,1655,55742,9,710,390,336,129
INV00123,HUB003,EVT013,128908,435164,1799,60587,11,772,424,365,141
INV00124,HUB004,EVT013,84710,285962,1182,39814,10,601,278,240,92
INV00125,HUB005,EVT013,149996,506354,2093,70499,11,654,493,425,164
INV00126,HUB006,EVT013,187733,633746,2620,88236,11,659,617,532,205
INV00127,HUB007,EVT013,182321,615476,2544,85692,14,665,599,516,199
INV00128,HUB008,EVT013,203358,686492,2838,95580,10,738,668,576,222
INV00129,HUB009,EVT013,116574,393528,1627,54791,13,616,383,330,127
INV00130,HUB010,EVT013,113952,384678,1590,53558,10,640,374,323,124
INV00131,HUB001,EVT014,111873,420687,1151,38264,12,728,156,300,13
INV00132,HUB002,EVT014,80820,303916,832,27643,9,641,113,217,10
INV00133,HUB003,EVT014,108672,408650,1118,37169,13,614,152,292,13
INV00134,HUB004,EVT014,129483,486908,1332,44287,12,709,181,347,15
INV00135,HUB005,EVT014,190010,714512,1955,64988,13,778,266,510,22
INV00136,HUB006,EVT014,156693,589227,1612,53593,11,715,219,420,19
INV00137,HUB007,EVT014,116885,439535,1203,39978,11,686,163,314,14
INV00138,HUB008,EVT014,159854,601114,1645,54674,11,654,224,429,19
INV00139,HUB009,EVT014,166875,627516,1717,57076,13,642,233,448,20
INV00140,HUB010,EVT014,94720,356183,975,32397,11,613,132,254,11
INV00141,HUB001,EVT015,45060,161136,451,16469,10,737,86,118,23
INV00142,HUB002,EVT015,75180,268843,752,27478,11,632,144,196,38
INV00143,HUB003,EVT015,70434,251873,705,25743,13,746,135,184,36
INV00144,HUB004,EVT015,46178,165132,462,16878,12,703,89,121,23
INV00145,HUB005,EVT015,82827,296187,829,30273,10,657,159,216,42
INV00146,HUB006,EVT015,44827,160301,448,16384,13,677,86,117,23
INV00147,HUB007,EVT015,100877,360737,1009,36870,14,717,193,263,51
INV00148,HUB008,EVT015,86681,309973,867,31682,13,725,166,226,44
INV00149,HUB009,EVT015,68394,244576,684,24998,12,756,131,179,35
INV00150,HUB010,EVT015,30857,110345,309,11278,10,712,59,81,16
INV00151,HUB001,EVT016,15329,60654,165,6057,8,716,30,43,8
INV00152,HUB002,EVT016,20756,82124,224,8201,12,624,41,58,11
INV00153,HUB003,EVT016,18734,74124,202,7402,10,694,37,53,10
INV00154,HUB004,EVT016,23185,91738,250,9161,11,757,46,65,13
INV00155,HUB005,EVT016,38721,153209,417,15300,11,682,76,109,21
INV00156,HUB006,EVT016,35953,142258,387,14207,12,718,71,101,20
INV00157,HUB007,EVT016,32551,128796,351,12862,13,713,64,91,18
INV00158,HUB008,EVT016,16521,65369,178,6528,9,679,33,46,9
INV00159,HUB009,EVT016,19514,77211,210,7711,10,729,39,55,11
INV00160,HUB010,EVT016,14843,58731,160,5865,10,634,29,42,8
INV00161,HUB001,EVT017,92709,361246,1062,33786,10,647,197,252,40
INV00162,HUB002,EVT017,104147,405816,1193,37955,13,660,222,283,45
INV00163,HUB003,EVT017,119019,463766,1363,43374,14,721,253,324,51
INV00164,HUB004,EVT017,75438,293950,864,27492,9,659,161,205,32
INV00165,HUB005,EVT017,108173,421506,1239,39422,14,738,230,294,46
INV00166,HUB006,EVT017,87897,342497,1006,32033,9,745,187,239,38
INV00167,HUB007,EVT017,108199,421607,1239,39431,14,648,230,294,46
INV00168,HUB008,EVT017,65091,253632,745,23721,13,686,139,177,28
INV00169,HUB009,EVT017,112735,439279,1291,41084,9,668,240,306,48
INV00170,HUB010,EVT017,87149,339584,998,31760,12,740,185,237,37
INV00171,HUB001,EVT018,11715,39703,142,4995,9,758,30,31,12
INV00172,HUB002,EVT018,11054,37463,134,4713,12,766,29,29,11
INV00173,HUB003,EVT018,15571,52768,189,6638,14,712,40,41,15
INV00174,HUB004,EVT018,14102,47791,171,6012,13,670,37,37,14
INV00175,HUB005,EVT018,13825,46851,167,5894,10,667,36,36,14
INV00176,HUB006,EVT018,14371,48702,174,6127,11,649,37,38,14
INV00177,HUB007,EVT018,21116,71563,256,9003,13,683,55,55,21
INV00178,HUB008,EVT018,10153,34409,123,4329,8,760,26,27,10
INV00179,HUB009,EVT018,12663,42913,153,5399,10,628,33,33,13
INV00180,HUB010,EVT018,12697,43031,154,5413,10,667,33,33,13
INV00181,HUB001,EVT019,175390,763946,2004,68146,11,756,375,507,80
INV00182,HUB002,EVT019,194270,846182,2220,75482,12,687,415,561,89
INV00183,HUB003,EVT019,197942,862179,2261,76909,12,723,423,572,90
INV00184,HUB004,EVT019,117360,511185,1341,45599,12,675,251,339,54
INV00185,HUB005,EVT019,133303,580628,1523,51794,9,645,285,385,61
INV00186,HUB006,EVT019,214519,934385,2451,83350,11,742,458,620,98
INV00187,HUB007,EVT019,212086,923784,2423,82404,10,667,453,612,97
INV00188,HUB008,EVT019,102144,444908,1167,39687,13,621,218,295,47
INV00189,HUB009,EVT019,169086,736490,1932,65697,13,655,361,488,77
INV00190,HUB010,EVT019,107267,467224,1226,41678,10,612,229,310,49
INV00191,HUB001,EVT020,145225,590441,1432,49359,12,791,228,393,47
INV00192,HUB002,EVT020,167142,679550,1648,56808,11,772,262,452,54
INV00193,HUB003,EVT020,136270,554034,1344,46315,14,739,214,369,44
INV00194,HUB004,EVT020,145773,592672,1437,49545,12,739,228,395,47
INV00195,HUB005,EVT020,148524,603854,1464,50480,14,697,233,402,48
INV00196,HUB006,EVT020,83397,339066,822,28345,9,667,131,226,27
INV00197,HUB007,EVT020,69015,280595,680,23457,12,638,108,187,22
INV00198,HUB008,EVT020,131814,535918,1300,44801,11,704,207,357,42
INV00199,HUB009,EVT020,57901,235411,571,19680,8,711,91,157,19
INV00200,HUB010,EVT020,39071,158850,385,13279,12,600,61,106,13
