Historical_Record_ID,Event_ID,District,State,Historically_Documented,Source_Type
HIST0064,EVT012,Chennai,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0065,EVT012,Tiruvallur,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0066,EVT012,Kancheepuram,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0067,EVT012,Cuddalore,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0068,EVT013,Tirunelveli,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0069,EVT013,Thoothukudi,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0070,EVT013,Kanniyakumari,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0071,EVT013,Tenkasi,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0072,EVT013,Ramanathapuram,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0073,EVT013,Virudhunagar,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0074,EVT014,Chennai,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0075,EVT014,Cuddalore,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0076,EVT014,Dharmapuri,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0077,EVT014,Dindigul,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0078,EVT014,Erode,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0079,EVT014,Madurai,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0080,EVT014,Nagapattinam,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0081,EVT014,Ramanathapuram,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0082,EVT014,Salem,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0083,EVT014,Thanjavur,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0084,EVT014,Thoothukudi,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0085,EVT014,Tirunelveli,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0086,EVT014,Virudhunagar,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0087,EVT014,Tiruchirappalli,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0088,EVT015,Nilgiris,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0089,EVT015,Coimbatore,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0090,EVT015,Dharmapuri,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0091,EVT015,Krishnagiri,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0092,EVT015,Erode,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0093,EVT015,Dindigul,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0094,EVT015,Salem,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0095,EVT016,Nilgiris,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0096,EVT016,Coimbatore,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0097,EVT016,Dharmapuri,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0098,EVT016,Krishnagiri,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0099,EVT016,Erode,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0100,EVT016,Dindigul,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0101,EVT016,Salem,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0102,EVT017,Nilgiris,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0103,EVT017,Coimbatore,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0104,EVT017,Dharmapuri,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0105,EVT017,Krishnagiri,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0106,EVT017,Erode,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0107,EVT017,Dindigul,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0108,EVT017,Salem,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0109,EVT017,Theni,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0110,EVT018,Nilgiris,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0111,EVT018,Coimbatore,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0112,EVT019,Chennai,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0113,EVT019,Tiruvallur,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0114,EVT019,Vellore,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0115,EVT019,Ranipet,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0116,EVT019,Tirupathur,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0117,EVT019,Karur,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0118,EVT019,Madurai,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0119,EVT019,Thanjavur,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0120,EVT019,Tiruchirappalli,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0121,EVT020,Chennai,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0122,EVT020,Tiruvallur,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0123,EVT020,Vellore,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0124,EVT020,Ranipet,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0125,EVT020,Tirupathur,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0126,EVT020,Karur,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0127,EVT020,Madurai,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0128,EVT020,Tiruchirappalli,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0129,EVT020,Salem,Tamil Nadu,True,Historical reference supplied by project dataset
