Dataset,Column,Role,Keep_Change_Remove,Reason
zone_assessments.csv,Rainfall_mm,Required input feature,Keep,Initial audit placeholder
zone_assessments.csv,Wind_Speed_kmph,Required input feature,Keep,Initial audit placeholder
zone_assessments.csv,Temperature_C,Required input feature,Keep,Initial audit placeholder
zone_assessments.csv,Flood_Depth_m,Required input feature,Keep,Initial audit placeholder
zone_assessments.csv,River_Level_m,Required input feature,Keep,Initial audit placeholder
zone_assessments.csv,Storm_Surge_m,Required input feature,Keep,Initial audit placeholder
zone_assessments.csv,Wave_Height_m,Required input feature,Keep,Initial audit placeholder
zone_assessments.csv,Burned_Area_km2,Required input feature,Keep,Initial audit placeholder
zone_assessments.csv,Rainfall_Deficit_pct,Required input feature,Keep,Initial audit placeholder
zone_assessments.csv,Slope_Risk_Score,Derived feature / Target,Keep,Initial audit placeholder
zone_assessments.csv,Rescue_Cases_Est,Derived feature / Target,Keep,Initial audit placeholder
zone_assessments.csv,Road_Access_Score,Derived feature / Target,Keep,Initial audit placeholder
zone_assessments.csv,Estimated_Travel_Time_min,Derived feature / Target,Keep,Initial audit placeholder
zone_assessments.csv,Estimated_Relief_Time_min,Derived feature / Target,Keep,Initial audit placeholder
zone_assessments.csv,Food_Required_packets,Derived feature / Target,Keep,Initial audit placeholder
zone_assessments.csv,Water_Required_Liters,Derived feature / Target,Keep,Initial audit placeholder
zone_assessments.csv,Medical_Kits_Required,Derived feature / Target,Keep,Initial audit placeholder
zone_assessments.csv,Shelter_Spaces_Required,Derived feature / Target,Keep,Initial audit placeholder
zone_assessments.csv,Priority_Score,Derived feature / Target,Keep,Initial audit placeholder
zone_assessments.csv,Priority_Level,Required input feature,Keep,Initial audit placeholder
zone_assessments.csv,Required_Rescue_Personnel,Derived feature / Target,Keep,Initial audit placeholder
zone_assessments.csv,Required_Distribution_Personnel,Derived feature / Target,Keep,Initial audit placeholder
zone_assessments.csv,Required_Medical_Personnel,Derived feature / Target,Keep,Initial audit placeholder
zone_assessments.csv,Recommended_Total_Personnel,Required input feature,Keep,Initial audit placeholder
